ausbookpro:cs308 Aus$ ./a.out
Logical | Page | Page   | Frame | Phys
Address |   #  | Offset |   #   | Address
--------------------------------------------
      0 |    0 |      0 |     5 |   20
      1 |    0 |      1 |     5 |   21
      2 |    0 |      2 |     5 |   22
      3 |    0 |      3 |     5 |   23
      4 |    1 |      0 |     6 |   24
      5 |    1 |      1 |     6 |   25
      6 |    1 |      2 |     6 |   26
      7 |    1 |      3 |     6 |   27
      8 |    2 |      0 |     1 |    4
      9 |    2 |      1 |     1 |    5
     10 |    2 |      2 |     1 |    6
     11 |    2 |      3 |     1 |    7
     12 |    3 |      0 |     2 |    8
     13 |    3 |      1 |     2 |    9
     14 |    3 |      2 |     2 |   10
     15 |    3 |      3 |     2 |   11
